
 1    0.03000    0.02000    0.04000    313.50     672.60  127.10     0.0  0.0  THOMAS 69        NP B13, 385
 2    0.05000    0.04000    0.06000    103.60     222.20  42.000     0.0  0.0  THOMAS 69        NP B13, 385
 3    0.06287    0.04933    0.07503    113.00     42.000  42.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 4    0.07000    0.06000    0.08000    44.800     96.100  18.200     0.0  0.0  THOMAS 69        NP B13, 385
 5    0.07044    0.00314    0.09987    58.500     33.800  33.800     0.0  0.0  ALLES 59         NC 11, 771
 6    0.08730    0.07503    0.09966    92.000     25.000  25.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 7    0.09000    0.08000    0.10000    71.500     64.200  23.000     0.0  0.0  THOMAS 69        NP B13, 385
 8    0.10000    0.09000    0.11000    87.290     10.230  10.230     0.0  0.0  SAKITT 65        PR 139, B719
 9    0.11000    0.10000    0.12000    92.800     51.300  24.200     0.0  0.0  THOMAS 69        NP B13, 385
 10   0.11210    0.09966    0.12524    82.000     19.000  19.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 11   0.12262    0.09987    0.14194    59.400     18.800  18.800     0.0  0.0  ALLES 59         NC 11, 771
 12   0.13000    0.12000    0.14000    79.220     7.6300  7.6300     0.0  0.0  SAKITT 65        PR 139, B719
 13   0.13000    0.12000    0.14000    40.400     29.500  12.000     0.0  0.0  THOMAS 69        NP B13, 385
 14   0.13722    0.12524    0.14991    82.000     17.000  17.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 15   0.14552    0.00994    0.17470    49.000     19.000  32.000     0.0  0.0  GLASSER 58       NC 9, 1085
 16   0.15000    0.14000    0.16000    69.610     6.0100  6.0100     0.0  0.0  SAKITT 65        PR 139, B719
 17   0.15000    0.14000    0.16000    41.400     22.900  10.900     0.0  0.0  THOMAS 69        NP B13, 385
 18   0.15909    0.14194    0.17470    53.900     14.700  14.700     0.0  0.0  ALLES 59         NC 11, 771
 19   0.16269    0.14991    0.17511    98.000     20.000  20.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 20   0.17000    0.16000    0.18000    75.760     5.3600  5.3600     0.0  0.0  SAKITT 65        PR 139, B719
 21   0.17000    0.16000    0.18000    32.800     24.000  9.8000     0.0  0.0  THOMAS 69        NP B13, 385
 22   0.18768    0.17511    0.19999    73.000     28.000  28.000     0.0  0.0  CSEJTHEYBART 65  PL 16, 89
 23   0.18916    0.17470    0.20272    66.000     14.100  14.100     0.0  0.0  ALLES 59         NC 11, 771
 24   0.19000    0.18000    0.20000    59.090     4.2000  4.2000     0.0  0.0  SAKITT 65        PR 139, B719
 25   0.19000    0.18000    0.20000    53.300     26.500  13.300     0.0  0.0  THOMAS 69        NP B13, 385
 26   0.20534    0.00994    0.29612    37.000     9.0000  9.0000     0.0  0.0  GLASSER 58       NC 9, 1085
 27   0.21000    0.20000    0.22000    53.300     29.400  14.000     0.0  0.0  THOMAS 69        NP B13, 385
 28   0.21000    0.20000    0.22000    60.490     4.1000  4.1000     0.0  0.0  SAKITT 65        PR 139, B719
 29   0.21554    0.20272    0.22774    48.000     10.700  10.700     0.0  0.0  ALLES 59         NC 11, 771
 30   0.22049    0.17470    0.25068    41.000     12.000  17.000     0.0  0.0  GLASSER 58       NC 9, 1085
 31   0.22500    0.22500    0.22500    65.410     10.300  10.300     0.0  0.0  MAST 76          PR D14, 13
 32   0.23000    0.22000    0.24000    55.690     4.0600  4.0600     0.0  0.0  SAKITT 65        PR 139, B719
 33   0.23000    0.22000    0.24000    62.900     46.000  18.700     0.0  0.0  THOMAS 69        NP B13, 385
 34   0.23500    0.23500    0.23500    55.740     5.3400  5.3400     0.0  0.0  MAST 76          PR D14, 13
 35   0.23944    0.20272    0.25068    41.200     9.1000  9.1000     0.0  0.0  ALLES 59         NC 11, 771
 36   0.24500    0.24500    0.24500    53.240     3.7600  3.7600     0.0  0.0  MAST 76          PR D14, 13
 37   0.24623    0.00994    0.29612    37.000     8.0000  9.0000     0.0  0.0  GLASSER 58       NC 9, 1085
 38   0.25000    0.24000    0.26000    51.500     4.2200  4.2200     0.0  0.0  SAKITT 65        PR 139, B719
 39   0.25500    0.25500    0.25500    49.220     2.7000  2.7000     0.0  0.0  MAST 76          PR D14, 13
 40   0.26154    0.22774    0.27206    43.600     9.9000  9.9000     0.0  0.0  ALLES 59         NC 11, 771
 41   0.26500    0.26500    0.26500    47.710     2.2700  2.2700     0.0  0.0  MAST 76          PR D14, 13
 42   0.27000    0.26000    0.28000    58.060     5.2000  5.2000     0.0  0.0  SAKITT 65        PR 139, B719
 43   0.27500    0.27500    0.27500    48.750     2.2000  2.2000     0.0  0.0  MAST 76          PR D14, 13
 44   0.27618    0.25068    0.29612    30.000     10.000  13.000     0.0  0.0  GLASSER 58       NC 9, 1085
 45   0.28227    0.27206    0.29221    44.900     10.000  10.000     0.0  0.0  ALLES 59         NC 11, 771
 46   0.28500    0.28500    0.28500    39.420     1.6300  1.6300     0.0  0.0  MAST 76          PR D14, 13
 47   0.29000    0.28000    0.30000    38.270     5.6800  5.6800     0.0  0.0  SAKITT 65        PR 139, B719
 48   0.29290    0.25111    0.33496    47.800     4.1000  4.1000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 49   0.29300    0.25100    0.33500    48.200     4.2000  4.2000     0.0  0.0  WATSON 63        PR 131, 2248
 50   0.29500    0.29500    0.29500    41.220     1.8600  1.8600     0.0  0.0  MAST 76          PR D14, 13
 51   0.30000    0.30000    0.30000    44.500     6.4000  6.4000     0.0  0.0  NORDIN 61        PR 123, 2168
 52   0.30191    0.29221    0.31139    44.200     31.300  31.300     0.0  0.0  ALLES 59         NC 11, 771
 53   0.30500    0.30500    0.30500    40.360     2.0200  2.0200     0.0  0.0  MAST 76          PR D14, 13
 54   0.31500    0.31500    0.31500    37.020     1.9300  1.9300     0.0  0.0  MAST 76          PR D14, 13
 55   0.32500    0.32500    0.32500    40.280     2.0600  2.0600     0.0  0.0  MAST 76          PR D14, 13
 56   0.33500    0.33500    0.33500    37.840     1.8300  1.8300     0.0  0.0  MAST 76          PR D14, 13
 57   0.34500    0.34500    0.34500    37.260     1.9500  1.9500     0.0  0.0  MAST 76          PR D14, 13
 58   0.35000    0.31900    0.38100    34.000     3.2000  3.2000     0.0  0.0  WATSON 63        PR 131, 2248
 59   0.35012    0.31909    0.38093    33.500     3.5000  3.5000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 60   0.35500    0.35500    0.35500    34.770     1.7900  1.7900     0.0  0.0  MAST 76          PR D14, 13
 61   0.36500    0.36500    0.36500    34.210     1.7100  1.7100     0.0  0.0  MAST 76          PR D14, 13
 62   0.37500    0.37500    0.37500    36.670     1.8300  1.8300     0.0  0.0  MAST 76          PR D14, 13
 63   0.38500    0.38500    0.38500    33.890     1.3700  1.3700     0.0  0.0  MAST 76          PR D14, 13
 64   0.38700    0.35700    0.41700    31.900     2.5000  2.5000     0.0  0.0  WATSON 63        PR 131, 2248
 65   0.38986    0.36001    0.42009    34.700     3.2000  3.2000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 66   0.39200    0.36200    0.42200    34.000     3.0000  3.0000     0.0  0.0  WATSON 63        PR 131, 2248
 67   0.39500    0.39500    0.39500    38.470     1.5700  1.5700     0.0  0.0  MAST 76          PR D14, 13
 68   0.40000    0.40000    0.40000    38.900     4.7000  4.7000     0.0  0.0  NORDIN 61        PR 123, 2168
 69   0.40500    0.40500    0.40500    32.060     1.3900  1.3900     0.0  0.0  MAST 76          PR D14, 13
 70   0.41500    0.41500    0.41500    32.590     1.6700  1.6700     0.0  0.0  MAST 76          PR D14, 13
 71   0.42000    0.42000    0.42000    48.400     11.000  15.000     0.0  0.0  WEBB 58          NC 8, 899
 72   0.42500    0.42500    0.42500    31.190     1.9700  1.9700     0.0  0.0  MAST 76          PR D14, 13
 73   0.43400    0.40800    0.46000    30.600     3.4000  3.4000     0.0  0.0  WATSON 63        PR 131, 2248
 74   0.43407    0.41200    0.46001    32.800     3.9000  3.9000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 75   0.43500    0.43500    0.43500    26.830     1.7900  1.7900     0.0  0.0  MAST 76          PR D14, 13
 76   0.43600    0.42850    0.44350    25.800     2.0000  2.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 77   0.44500    0.44500    0.44500    28.830     2.2100  2.2100     0.0  0.0  MAST 76          PR D14, 13
 78   0.45500    0.45500    0.45500    30.320     3.1600  3.1600     0.0  0.0  MAST 76          PR D14, 13
 79   0.45500    0.44750    0.46250    23.800     1.7000  1.7000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 80   0.46500    0.46500    0.46500    31.990     5.9200  5.9200     0.0  0.0  MAST 76          PR D14, 13
 81   0.47500    0.46750    0.48250    23.100     1.4000  1.4000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 82   0.49500    0.48750    0.50250    21.500     1.3000  1.3000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 83   0.51300    0.49300    0.53300    26.500     3.3000  3.3000     0.0  0.0  WATSON 63        PR 131, 2248
 84   0.51300    0.49291    0.53305    27.600     3.7000  3.7000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 85   0.51400    0.50650    0.52150    21.700     1.4000  1.4000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 86   0.52228    0.41304    0.62145    35.000     16.000  16.000     0.0  0.0  FREDEN 60        PR 118, 564
 87   0.53400    0.52650    0.54150    19.300     1.3000  1.3000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 88   0.55400    0.54650    0.56150    19.100     1.2000  1.2000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 89   0.57300    0.56550    0.58050    17.500     1.1000  1.1000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 90   0.59700    0.58950    0.60450    17.700     1.1000  1.1000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 91   0.61000    0.61000    0.61000    17.660     1.0000  1.0000     0.0  0.0  ADAMS 75         NP B96, 54
 92   0.61700    0.60950    0.62450    18.600     1.1000  1.1000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 93   0.62004    0.60502    0.63497    16.000     1.0000  1.0000     0.0  0.0  BASTIEN 63       PRL 10, 188
 94   0.63700    0.62950    0.64450    16.000     1.0000  1.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 95   0.64200    0.64200    0.64200    17.230     0.96000 0.96000    0.0  0.0  ADAMS 75         NP B96, 54
 96   0.65800    0.65050    0.66550    16.400     1.0000  1.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 97   0.66000    0.65340    0.66660    12.100     2.0000  2.0000     0.0  0.0  HOLLEY 67        PR 154, 1273
 98   0.67200    0.67200    0.67200    16.220     0.92000 0.92000    0.0  0.0  ADAMS 75         NP B96, 54
 99   0.67700    0.66950    0.68450    15.600     1.0000  1.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 100  0.69900    0.69150    0.70650    15.200     1.0000  1.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 101  0.70000    0.69300    0.70700    14.200     2.1000  2.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 102  0.70300    0.70300    0.70300    15.220     0.86000 0.86000    0.0  0.0  ADAMS 75         NP B96, 54
 103  0.70800    0.70092    0.71508    13.500     0.90000 0.90000    0.0  0.0  BERTANZA 69      PR 177, 2036
 104  0.71900    0.71150    0.72650    14.200     1.0000  1.0000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 105  0.72500    0.71775    0.73225    11.500     0.80000 0.80000    0.0  0.0  BERTANZA 69      PR 177, 2036
 106  0.73000    0.73000    0.73000    14.070     0.70000 0.70000    0.0  0.0  ADAMS 75         NP B96, 54
 107  0.74000    0.73260    0.74740    14.000     2.1000  2.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 108  0.74000    0.73250    0.74750    15.900     1.1000  1.1000     0.0  0.0  ARMENTEROS 70    NP B21, 15
 109  0.74100    0.73359    0.74841    11.600     0.70000 0.70000    0.0  0.0  BERTANZA 69      PR 177, 2036
 110  0.75800    0.75800    0.75800    16.930     0.98000 0.98000    0.0  0.0  ADAMS 75         NP B96, 54
 111  0.75996    0.75291    0.76701    16.700     1.0000  1.0000     0.0  0.0  BASTIEN 63       PRL 10, 188
